Cat. Page,Item No.,Description,Case Pack,Weight (lbs) per case,Cubic Feet Per Case,Universal Product Code,Dangerous Goods Class," Indvl Width""    L to R",Indvl Lengt'' F to B,"Indvl Height""  T to B ",Indvl Cubic Ft.,Indvl.  Wt. lbs.,Case Dim. Length,"Case Dim. Width""","Case Dim. Height""",Cu.Ft.Per Case,Country of Origin
32,1426,Fire Disc,6,1.4,0.06,0 5638901426 8,,3.750,0.875,4.250,0.010,0.23,7.75,3.13,4.38,0.061,USA
72,1450,Paracord - Black - 50',4,1.2,0.10,0 5638901450 3,,2.000,1.500,9.000,0.026,0.28,8.25,7.88,2.75,0.103,CHINA
72,1452,Paracord - Tan - 50',4,1.2,0.10,0 5638901452 7,,2.000,1.500,9.000,0.026,0.28,8.25,7.88,2.75,0.103,CHINA
72,1454,Paracord - Olive Drab - 50',4,1.2,0.10,0 5638901454 1,,2.000,1.500,9.000,0.026,0.28,8.25,7.88,2.75,0.103,CHINA
72,1456,Paracord - Neon Orange - 50',4,1.2,0.10,0 5638901456 5,,2.000,1.500,9.000,0.026,0.28,8.25,7.88,2.75,0.103,CHINA
89,1490,Fibreglass Tent Pole Repair Kit,6,5.3,0.22,0 5638901490 9,,2.750,1.250,36.625,0.037,0.86,27.75,4.63,3.00,0.223,CHINA
59,1530,Gear Lock,4,5.3,0.21,0 5638901530 2,,7.289,8.077,1.576,0.053,1.30,8.08,5.71,7.88,0.210,China
52,1540,Tent Light,4,1.8,0.28,0 5638901540 1,,5.250,4.000,8.500,0.070,0.43,10.00,8.75,5.50,0.279,China
58,1577,Extendible Fire Poker,4,3.2,0.25,0 5638901577 7,,3.000,1.250,23.000,0.062,0.78,29.50,4.13,3.50,0.246,Taiwan
67,1609,"Steel Tent Pegs 7"" -4 Pack",12,3.9,0.12,0 5638901609 5,,3.800,0.250,10.350,0.010,0.33,10.63,4.25,4.50,0.118,China
67,1610,"Steel Tent Pegs 7"" -Bulk",80,5.3,0.06,0 5638901610 1,,1.000,0.250,7.000,0.001,0.07,8.50,3.38,3.38,0.056,China
70,1630,Reflective Guy Line,4,0.5,0.03,0 5638901630 9,,1.500,1.500,4.000,0.008,0.11,4.25,3.50,3.50,0.030,China
81,1713,Mini Pop-Up Trash Can,4,4.4,0.53,0 5638901713 9,,16.000,1.000,16.000,0.132,1.10,16.00,16.250,3.50,0.527,CHINA
81,1715,Pop-Up Recycle Bin,4,7.0,0.86,0 5638901715 3,,19.000,1.000,19.000,0.214,1.75,20.25,3.750,19.50,0.857,CHINA
14,1745,Hammock Carabiner - 2 Pack,6,5.4,0.04,0 5638901745 0,,4.500,4.500,6.000,0.007,0.90,6.75,2.250,4.75,0.042,CHINA
13,1750,Parachute Hammock Single Blue,4,6.1,0.41,0 5638901750 4,,4.500,4.500,8.000,0.102,1.53,9.25,9.25,8.25,0.409,CHINA
13,1752,Parachute Hammock Single Green,4,6.1,0.41,0 5638901752 8,,4.500,4.500,8.000,0.102,1.53,9.25,9.25,8.25,0.409,CHINA
14,1755,Parachute Hammock DBL Blue/Gry,4,7.0,0.53,0 5638901755 9,,5.500,5.500,9.000,0.132,1.75,10.50,10.500,8.25,0.526,CHINA
14,1759,Parachute Hammock DBL Orng/Gry,4,7.1,0.53,0 5638901759 7,,5.500,5.500,9.000,0.132,1.78,10.50,10.500,8.25,0.526,CHINA
84,1770,Log Carrier,4,4.2,0.41,0 5638901770 2,,6.500,2.500,10.250,0.102,1.05,18.25,5.500,7.00,0.407,CHINA
21,1775,Roasting Sticks,12,4.8,0.28,0 5638901775 7,,2.750,0.500,33.500,0.023,0.40,30.75,5.750,2.75,0.281,CHINA
14,1780,Hammock Tree Straps,4,3.2,0.26,0 5638901780 1,,5.000,2.500,8.000,0.065,0.80,10.00,8.500,5.25,0.258,CHINA
68,1802,Twist Anchor - PDQ,24,3.8,0.11,0 5638901804 4,,3.100,12.600,1.200,0.005,0.15,13.00,5.000,3.00,0.113,CANADA
68,1803,Twist Anchor - Single,8,1.0,0.38,0 5638901803 7,,3.100,12.600,1.200,0.047,0.02,13.00,8.000,6.25,0.376,CANADA
65,1812,"Nail Peg 15"" - 4 Pack",6,1.4,0.26,0 5638901812 9,,5.330,19.830,0.500,0.043,1.35,19.25,4.920,4.72,0.259,CHINA
18,1814,Stainless Steel Cook Set ,2,7.1,0.59,0 56389 01814 3,,9.440,9.440,5.700,0.294,3.35,9.44,9.44,11.41,0.588,China
81,1819,Deluxe Pop-Up Trash Can,4,6.7,2.81,0 5638901819 8,,19.000,19.000,1.750,0.700,1.68,20.50,19.680,12.00,2.802,CHINA
35,1823,Telescopic Fly Swatter,6,0.4,0.07,0 5638901823 5,,4.125,0.750,13.250,0.012,0.10,13.63,2.000,4.50,0.071,China
18,1824,Hard Anodized Family Cook Set,2,6.4,0.47,0 56389 01824 2,,8.260,8.260,5.110,0.225,3.22,8.26,8.26,11.41,0.451,China
34,1880,Compact Mosquito Head Net Sngl,6,0.5,0.08,0 5638901880 8,,3.000,2.000,2.000,0.006,0.07,4.75,3.5,3.5,0.034,CHINA
34,1882,Compact Mosquito Head Net PDQ,12,0.9,0.07,0 5638901882 2,,3.500,3.000,2.000,0.006,0.07,6.63,3.750,5.25,0.075,CHINA
"9, 17",1905,Silicone Handle Grip ,8,1.0,0.07,0 56389 01905 8,,1.000,6.000,17/8,0.008,0.01,8.25,6.25,2.25,0.067,China
"9, 17",1930,Stainless Steel Mess Kit ,4,5.1,0.50,0 56389 01930 0,,6.250,6.250,4.000,0.124,1.15,14.56,7.48,7.87,0.496,China
"10, 90",1950,Travel Bottles - 3 pack,4,1.7,0.19,0 5638901950 8,,1.960,8.660,7.000,0.048,0.35,8.66,5.5,7,0.193,China
"6, 12",1951,Utility Tarp,4,7.8,0.76,0 5638901951 5,,5.500,5.500,9.000,0.190,1.90,11.81,11.81,9.44,0.762,China 
"10, 90",1955,Travel Bottle - Single - Clear,6,1.0,0.14,0 56389 01955 3,,3.150,1.960,6.690,0.023,0.10,3.15,10.62,7,0.136,China
"10, 90",1956,Travel Bottle - Single - Blue,6,1.0,0.14,0 5638901956 0,,3.150,1.960,6.690,0.023,0.10,3.15,10.62,7,0.136,China
"10, 90",1957,Travel Bottle - Single - Green,6,1.0,0.14,0 5638901957 7 ,,3.150,1.960,6.690,0.023,0.10,3.15,10.62,7,0.136,China
"7, 13",1965,Hammock Mosquito Sleeve ,4,4.5,0.76,0 5638901965 2,,5.500,5.500,9.000,0.190,1.00,11.81,11.81,9.44,0.762,China 
"8, 16",1966,Picnic Blanket ,6,3.2,0.18,0 5638901966 9,,4.000,5.500,1.200,0.031,0.45,11.42,5.9,4.72,0.184,China
"11, 80",1970,Aluminum Capsule - Small,8,0.6,0.02, 0 5638901970 6,,2.000,4.500,0.750,0.002,0.05,7.08,3.93,1,0.016,China
"11, 80",1973,Aluminum Capsule - Medium,6,0.6,0.02,0 5638901973 7,,2.500,6.000,1.000,0.004,0.10,6.5,4.75,1.2,0.021,China
"11, 80",1976,Aluminum Capsule - Large,6,0.8,0.04,0 5638901976 8 ,,2.500,6.750,1.250,0.006,0.15,7.5,6.3,1.4,0.038,China 
"11, 80",1979,Aluminum Capsule - XL,4,1.0,4.41, 0 5638901979 9,,3.000,7.000,1.500,1.099,0.20,67,63,1.8,4.397,China
"11, 80",1985,Carabiner Compass ,6,0.4,0.03,0 5638901985 0,,3.000,5.500,0.780,0.004,0.05,5.74,2.4,3.346,0.027,TAIWAN
,2019,Packing Cube - Small ,6,1.1,0.24,0 5638902019 1,,8.500,6.000,1.000,0.039,0.17,8.85,6.5,7.1,0.236,China
,2020,Packing Cube - Medium ,6,1.4,0.33,0 5638902020 7,,10.300,7.250,1.000,0.055,0.21,10.8,7.5,7.1,0.333,China
,2021,Packing Cube - Large ,6,1.6,0.40,0 5638902021 4,,10.300,8.250,1.000,0.067,0.24,10.8,9,7.1,0.399,China
,2025,Wet/Dry Bag,6,1.6,0.38,0 5638902025 2,,9.840,8.000,1.000,0.063,0.29,10.3,9,7,0.376,China
,2032,Microfiber Towel - Medium,4,2.6,0.22,0 5638902032 0,,7.000,9.250,0.980,0.055,0.49,10.83,7.5,4.72,0.222,China
,2034,Microfiber Towel - Large,4,3.5,0.32,0 5638902034 4,,7.000,10.000,1.200,0.079,0.70,11.61,7.48,6.3,0.317,China
,2036,Cooling Towels ,6,0.7,0.16,0 5638902036 8,,7.000,7.000,0.980,0.027,0.16,8.26,7.88,4.33,0.163,China
,2044,Cast Iron Double Camp Cooker,3,14.5,0.80,0 5638902044 3,,26.770,8.270,1.580,0.266,4.16,8.6,27.1,5.91,0.797,China
,2045,Cast Iron Broiler ,3,6.3,0.44,0 5638902045 0,,4.300,26.370,1.570,0.146,2.10,5.9,27.16,4.72,0.438,China
,2046,Cast Iron Double Broiler ,3,13.5,0.89,0 5638902046 7,,9.100,27.000,2.000,0.297,4.50,9.44,27.6,5.9,0.890,China
,2060,Hatchet ,4,9.7,0.21,0 5638902060 3,,7.300,15.750,1.500,0.053,2.42,16.54,9.44,2.36,0.213,China
,2070,Anchor Clips - 4 Pack,12,1.3,0.12,0 5638902070 2,,4.000,5.780,0.500,0.010,0.10,7.48,6.3,4.33,0.118,China
,2071,Anchor Clip Set ,6,1.2,0.12,0 5638902071 9,,3.750,8.000,1.000,0.020,0.20,8.66,4.14,5.9,0.122,China
,2080,Collapsible Bucket - 1.3 Gallon,4,3.3,0.47,0 5638902080 1,,10.000,10.000,2.080,0.117,0.81,10.24,10.24,7.68,0.466,China
,2081,Collapsible Bucket - 2.6 Gallon,4,5.2,0.83,0 5638902081 8,,13.000,13.000,2.170,0.208,1.32,13.19,13.19,8.27,0.833,China
,2082,Collapsible Sink ,4,4.7,0.63,0 5638902082 5,,14.760,14.760,1.960,0.158,1.43,14.78,14.78,5,0.632,China
,2094,Toothbrush Covers - 2 Pack,6,0.4,0.04,0 56389 02094 8,,2.244,0.866,2.559,0.006,0.03,6.71,2.95,3.35,0.038,CHINA
,2125,Bear Bell with Carabiner,12,1.0,0.07,0 5638902125 9,,2.758,1.478,7.289,0.006,0.09,10.75,2,5.5,0.068,China
,2132,Neck Pillow,6,0.8,0.09,0 5638902132 7,,2.500,2.100,5.300,0.015,0.14,9.75,7.5,2.125,0.090,China
,2135,Travel pillow,6,1.3,0.11,0 5638902135 8,,2.500,2.900,6.100,0.018,0.21,5,7.25,5.25,0.110,China
,2140,Seat Cushion ,4,1.3,0.19,0 5638902140 2,,3.700,3.000,7.800,0.046,0.30,14.25,3,7.5,0.186,China
,2150,"Rain cover- 32"" x 48""",4,1.8,0.14,0 5638902150 1,,3.700,2.900,6.600,0.035,0.40,6,12.5,3.25,0.141,China
,2155,Silicone Straws - 4 Pack,8,1.4,0.07,0 5638902155 6,,2.000,0.500,9.250,0.009,0.15,2.25,11,5,0.072,China
,2159,Water Pump,4,4.4,0.23,0 5638902159 4,,3.740,3.220,5.710,0.057,1.10,7,7,8,0.227,China
,2170,Scavenger Hunt,4,1.7,0.22,0 5638902170 9,,4.000,7.000,1.920,0.054,0.41,15,5,5,0.217,China
,2172,Fireside Gaming Kit,6,2.9,0.14,0 5638902172 3,,4.130,0.870,6.100,0.024,0.47,13,3.75,5,0.141,China
,2174,Fireside Story Dice,6,1.5,0.06,0 5638902174 7,,2.870,0.790,3.820,0.011,0.25,3.75,8.5,3.5,0.065,China
,2180,3-in-1 Tower Game,4,4.4,0.24,0 5638902180 8,,2.750,2.750,10.500,0.061,1.10,6.5,10.75,6,0.243,China
,2182,3-in-1 Game Roll,4,1.3,0.25,0 5638902182 2,,3.000,3.500,9.500,0.062,0.33,6,7,10.25,0.249,China
,2185,Net Toss Set,4,5.8,0.37,0 5638902185 3,,10.430,2.050,11.570,0.093,1.43,10.75,12,5,0.373,China
,2200,LED Lightstick - Green,6,3.1,0.13,056389022003,,3.540,1.300,11.140,0.021,0.50,11.00,5.12,3.94,0.128,China
,2202,LED Lightstick - Red,6,3.1,0.13,056389022027,,3.540,1.300,11.140,0.021,0.50,11.00,5.12,3.94,0.128,China
,2204,LED Lightstick - White,6,3.1,0.13,056389022041,,3.540,1.300,11.140,0.021,0.50,11.00,5.12,3.94,0.128,China
,2213,Pop Up Mini Bin,6,2.0,0.22,0 5638902213 3,,6.530,1.000,8.000,0.037,0.33,13.78,3.94,7.09,0.223,China
,2220,Razor Cover,6,0.3,0.02,0 5638902220 1,,2.230,0.866,3.800,0.003,0.05,4.53,3.54,1.85,0.017,China
,2224,Fire In A Box,6,3.3,0.04,0 5638902224 9,,4.410,0.980,5.830,0.007,0.42,5.71,4.53,2.96,0.044,China
,2226,Flint Wheel,6,1.2,0.10,0 5638902226 3,,3.930,1.100,9.440,0.016,0.17,10.63,4.33,3.62,0.096,China
,2227,Pocket Chainsaw,6,2.1,0.11,0 5638902227 0,,4.000,1.000,6.140,0.018,0.28,10.24,4.02,4.53,0.108,China
,2235,Reusable Storage Bags,6,1.4,0.32,0 5638902235 5,,8.070,1.850,9.250,0.053,0.19,7.09,9.44,8.26,0.320,China
,2240,Cast Iron Griddle,3,22.0,0.28,0 5638902240 9,,18.110,0.590,9.450,0.093,7.27,18.34,9.96,2.64,0.279,China
,2270,Reflective Guy Line Kit,6,1.2,0.07,0 56389 02270 6,,3.350,1.020,5.510,0.012,0.16,9.17,3.74,3.70,0.073,China
,2278,Pocket Microscope,6,0.7,0.06,0 5638902278 2,,5.350,1.140,3.600,0.009,0.11,5.63,4.13,4.09,0.055,China
,1865,Heavy Duty Tent Stake - 2 pack,4,7.2,0.06,0 5638901865 5,,2.040,0.980,18.110,0.014,1.74,18.90,2.40,2.20,0.058,China
,1876,Ground Spike - PDQ,24,3.6,0.28,0 5638901876 1,,2.400,1.450,10.820,0.012,0.13,12.60,6.89,5.51,0.277,China
