DATE, AMOUNT, TYPE, KIND, DETAILS, CODE
6/12/2017,-$79.36,Labor,SJ,CHECK   15315,10010
6/12/2017,"-$1,017.00",Labor,SJ,CHECK   15317,10010
6/12/2017,-$5.14,uber,uber,OTHER DECREASE,10026
6/12/2017,-$6.02,uber,uber,OTHER DECREASE,10026
6/12/2017,-$8.85,uber,uber,OTHER DECREASE,10026
6/12/2017,-$12.27,uber,uber,OTHER DECREASE,10026
6/12/2017,-$16.03,uber,uber,OTHER DECREASE,10026
6/13/2017,-$36.57,Exhibition,MEC,DEBIT PURCHASE                Jun 10 0895,10006
6/13/2017,-$4.99,Travel ,travel client meal,DEBIT PURCHASE                Jun 11 0895,10026
6/13/2017,-$120.00,Travel ,travel client meal,NONCITIBANK ATM WITHDRAWAL,10026
6/13/2017,-$5.90,uber,uber,OTHER DECREASE,10026
6/13/2017,-$7.13,uber,uber,OTHER DECREASE,10026
6/13/2017,-$8.37,uber,uber,OTHER DECREASE,10026
6/13/2017,-$9.54,uber,uber,OTHER DECREASE,10026
6/14/2017,-$39.00,HHA Office,Intuit,DEBIT PURCHASE                Jun 12 0895,10013
6/14/2017,-$85.00,HHA Office,Mailchimp,OTHER DECREASE,10013
6/14/2017,$1.59,ER,Return,OTHER ADDITION,10005
6/14/2017,-$5.41,uber,uber,OTHER DECREASE,10026
6/14/2017,-$6.21,uber,uber,OTHER DECREASE,10026
6/15/2017,-$6.51,Meal,HHA Office,DEBIT PURCHASE                Jun 13 7696,10013
6/15/2017,-$5.12,uber,uber,OTHER DECREASE,10026
6/15/2017,-$5.70,uber,uber,DEBIT PURCHASE                Jun 13 0895,10026
6/15/2017,-$13.96,uber,uber,OTHER DECREASE,10026
6/16/2017,-$31.12,Meal,Artist EW,DEBIT PURCHASE                Jun 14 7696,10012
6/16/2017,"$2,125.00",SALE,PIG Garner,TELLER DEPOSIT                 Jun 16 14:49,10024
6/16/2017,-$14.02,Meal,HHA Office,DEBIT PURCHASE                Jun 14 0895,10013
6/16/2017,-$25.14,Meal,HHA Office Studio L,DEBIT PIN PURCHASE,10013
6/16/2017,-$4.49,uber,uber,OTHER DECREASE,10026
6/16/2017,-$4.82,uber,uber,OTHER DECREASE,10026
6/16/2017,-$4.99,uber,uber,OTHER DECREASE,10026
6/16/2017,-$8.64,uber,uber,DEBIT PURCHASE                Jun 15 0895,10026
6/16/2017,-$10.02,uber,uber,OTHER DECREASE,10026
6/16/2017,-$10.36,uber,uber,OTHER DECREASE,10026
6/19/2017,-$25.64,LA Transport,Gas,DEBIT PIN PURCHASE,10009
6/19/2017,-$6.69,uber,uber,OTHER DECREASE,10026
6/19/2017,-$7.06,uber,uber,OTHER DECREASE,10026
6/19/2017,-$7.20,uber,uber,OTHER DECREASE,10026
6/19/2017,-$15.59,uber,uber,OTHER DECREASE,10026
6/19/2017,-$21.17,uber,uber,OTHER DECREASE,10026
6/20/2017,-$19.57,HHA Office,Amazon,DEBIT PURCHASE                Jun 16 0895,10013
6/20/2017,-$11.93,Meal,Artist EMZ,DEBIT PURCHASE                Jun 18 7696,10012
6/20/2017,-$55.09,Opening ,CF,DEBIT PURCHASE                Jun 17 7696,10014
6/20/2017,-$7.83,Meal,Coffee,DEBIT PIN PURCHASE,10013
6/20/2017,-$69.17,Insurance,Progressive,OTHER DECREASE,10008
6/20/2017,-$24.00,HHA Misc. ,EW - Museum,DEBIT PURCHASE                Jun 18 7696,10013
6/21/2017,-$65.26,Opening ,CF,DEBIT PURCHASE                Jun 18 7696,10014
6/22/2017,-$5.13,Meal,Artist CF,DEBIT PURCHASE                Jun 19 7696,10012
6/22/2017,-$7.98,Meal,Artist CF,DEBIT PURCHASE                Jun 19 7696,10012
6/22/2017,-$23.45,Exhibition,MEC,DEBIT PURCHASE                Jun 20 0895,10006
6/22/2017,-$37.50,Exhibition,MEC,OTHER DECREASE,10006
6/22/2017,-$3.46,uber,uber,OTHER DECREASE,10026
6/22/2017,-$5.45,uber,uber,OTHER DECREASE,10026
6/22/2017,-$5.64,uber,uber,DEBIT PURCHASE                Jun 20 0895,10026
6/22/2017,-$5.70,uber,uber,DEBIT PURCHASE                Jun 20 0895,10026
6/23/2017,-$648.00,Artist Payment,EMZ,DEBIT PURCHASE                Jun 21 7696,10002
6/23/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Jun 21 0895,10013
6/23/2017,-$79.99,Utility,Internet,DEBIT PURCHASE                Jun 21 7696,10027
6/26/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Jun 22 0895,10013
6/27/2017,-$43.08,Meal,Artist EMZ,DEBIT PURCHASE                Jun 23 7696,10012
6/27/2017,-$87.17,Insurance,Travelers,OTHER DECREASE,10008
6/27/2017,-$7.73,uber,uber,DEBIT PURCHASE                Jun 23 0895,10026
6/29/2017,-$29.65,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jun 27 7696,10006
6/29/2017,-$29.65,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jun 27 7696,10006
6/29/2017,-$25.93,LA Transport,Gas,DEBIT PURCHASE                Jun 28 7696,10009
6/29/2017,-$11.99,Research ,netflix,DEBIT PURCHASE                Jun 27 7696,10018
6/29/2017,-$734.70,uber,uber,OTHER DECREASE,10026
6/30/2017,-$44.11,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jun 28 0895,10006
6/30/2017,-$21.79,Meal,Artist CF,DEBIT PURCHASE                Jun 28 7696,10012
6/30/2017,-$34.77,Exhibition,MEC,DEBIT PURCHASE                Jun 28 0895,10006
6/30/2017,-$1.00,HHA Misc. ,parking,DEBIT PURCHASE                Jun 28 0895,10022
7/3/2017,-$17.57,HHA Office,99 cent,DEBIT PIN PURCHASE,10013
7/3/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Jun 29 7696,10027
7/3/2017,-$18.89,Building,Anawalt,DEBIT PURCHASE                Jun 29 0895,10004
7/3/2017,"-$2,000.00",Labor,CS,CHECK   15323,10010
7/3/2017,"$5,000.00",LOAN ,Y Fam,TELLER DEPOSIT                 Jul 01 16:14,10011
7/3/2017,-$20.00,Meal,Writer,OTHER DECREASE,10013
7/5/2017,-$49.99,HHA Office,Adobe,OTHER DECREASE,10013
7/5/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Jul 01 0895,10017
7/5/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Jul 01 0895,10017
7/5/2017,"-$1,000.00",Labor,CF,CHECK   15324,10010
7/5/2017,-$29.16,HHA Office,google app,DEBIT PURCHASE                Jul 01 0895,10013
7/5/2017,-$104.00,Utility,Internet,DEBIT PURCHASE                Jul 02 0895,10027
7/5/2017,-$28.11,Meal,HHA Office,DEBIT PURCHASE                Jul 01 7696,10013
7/5/2017,-$18.21,Research ,Sirus,DEBIT PURCHASE                Jul 02 7696,10018
7/5/2017,-$24.96,Meal,Writer,DEBIT PIN PURCHASE,10013
7/5/2017,-$35.89,LA Transport,Zip car,DEBIT PURCHASE                Jun 30 0895,10009
7/5/2017,-$44.85,LA Transport,Zip car,DEBIT PURCHASE                Jun 30 0895,10009
7/6/2017,-$67.20,Meal,Client ,DEBIT PURCHASE                Jul 04 7696,10013
7/6/2017,-$4.00,HHA Misc. ,Parking,DEBIT PURCHASE                Jul 03 7696,10022
7/7/2017,$99.00,HHA Office,Gallery Manager,DEBIT RETURN,10013
7/7/2017,$99.00,HHA Office,Gallery Manager,DEBIT RETURN,10013
7/7/2017,$99.00,HHA Office,Gallery Manager,DEBIT RETURN,10013
7/7/2017,-$146.69,Utility,LADWP,OTHER DECREASE,10027
7/7/2017,-$35.62,ER,Petco,DEBIT PIN PURCHASE,10005
7/10/2017,-$27.32,Meal,Artist New artist,DEBIT PURCHASE                Jul 06 7696,10012
7/10/2017,-$15.00,Bank Fee,Bank Fee,SERVICE CHARGE,10003
7/10/2017,-$1.00,HHA Misc. ,Parking,DEBIT PURCHASE                Jul 06 7696,10022
7/10/2017,-$31.41,HHA Office,Walgreens,DEBIT PURCHASE                Jul 06 7696,10013
7/11/2017,-$6.53,Gift,Coleague gift,DEBIT PURCHASE                Jul 09 7696,10007
7/11/2017,-$43.55,Gift,Coleague gift,DEBIT PURCHASE                Jul 09 7696,10007
7/11/2017,-$16.94,LA Transport,Gas,DEBIT PURCHASE                Jul 07 7696,10009
7/11/2017,-$3.00,HHA Misc. ,Parking,DEBIT PURCHASE                Jul 08 7696,10022
7/11/2017,-$3.75,HHA Misc. ,Parking,DEBIT PURCHASE                Jul 08 7696,10022
7/11/2017,-$6.00,HHA Misc. ,Parking,DEBIT PURCHASE                Jul 07 7696,10022
7/11/2017,"$43,600.00",SALE,TAK,INCOMING WIRE,10024
7/11/2017,-$6.87,uber,uber,DEBIT PURCHASE                Jul 08 0895,10026
7/12/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
7/12/2017,-$100.00,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
7/13/2017,-$151.80,HHA Office,Amazon,OTHER DECREASE,10013
7/13/2017,-$9.80,Meal,Artist EW,DEBIT PURCHASE                Jul 10 7696,10012
7/13/2017,-$17.94,Meal,Artist New artist,DEBIT PURCHASE                Jul 12 7696,10012
7/13/2017,-$25.30,LA Transport,Gas,DEBIT PIN PURCHASE,10009
7/13/2017,-$400.43,Insurance ,Hartford,OTHER DECREASE,10008
7/13/2017,-$39.00,HHA Office,Intuit,DEBIT PURCHASE                Jul 11 0895,10013
7/13/2017,-$4.99,Travel ,NYC,DEBIT PURCHASE                Jul 11 0895,10026
7/13/2017,-$116.02,Utility,phone ,DEBIT PURCHASE                Jul 11 7696,10027
7/14/2017,-$25.00,Production,CF Contact Photo,DEBIT PURCHASE                Jul 12 7696,10016
7/14/2017,"-$1,500.00",Labor,CS,CHECK   15327,10010
7/14/2017,-$90.00,HHA Office,Mailchimp,OTHER DECREASE,10013
7/14/2017,-$120.00,Exhibition,MEC,OTHER DECREASE,10006
7/14/2017,-$75.00,Labor,Prep work,OTHER DECREASE,10010
7/14/2017,-$75.00,LA Transport,Storage Moving,DEBIT PURCHASE                Jul 12 0895,10009
7/14/2017,-$24.77,HHA Office,USPS,DEBIT PURCHASE                Jul 12 0895,10013
7/17/2017,-$0.99,HHA Office,Apple,DEBIT PURCHASE                Jul 12 0895,10013
7/17/2017,-$572.00,Labor,HL,CHECK   15288,10010
7/17/2017,-$638.00,Labor,HL,CHECK   15310,10010
7/17/2017,-$715.00,Labor,HL,CHECK   15313,10010
7/17/2017,-$891.00,Labor,HL,CHECK   15307,10010
7/17/2017,-$957.00,Labor,HL,CHECK   15326,10010
7/17/2017,"-$4,985.00",RENT,Holllywood,CHECK   15328,10017
7/17/2017,"-$4,985.00",RENT,Holllywood,CHECK   15329,10017
7/17/2017,"-$4,985.00",RENT,Holllywood,CHECK   15330,10017
7/17/2017,-$400.00,Labor,Prep work/ storage move,NONCITIBANK ATM WITHDRAWAL,10010
7/17/2017,-$369.00,Labor,SJ,CHECK   15325,10010
7/17/2017,-$6.67,Meal,website meeting,DEBIT PIN PURCHASE,10013
7/18/2017,-$87.85,HHA Office,Amazon,DEBIT PURCHASE                Jul 13 0895,10013
7/18/2017,-$117.79,Opening ,CF,DEBIT PURCHASE                Jul 15 7696,10014
7/18/2017,-$179.94,Opening ,CF,DEBIT PURCHASE                Jul 15 7696,10014
7/18/2017,-$14.23,Meal,HHA Office,DEBIT PIN PURCHASE,10013
7/18/2017,-$11.85,HHA Office,Target,DEBIT PURCHASE                Jul 16 7696,10013
7/18/2017,-$49.44,HHA Office,Target,DEBIT PURCHASE                Jul 16 7696,10013
7/18/2017,-$16.66,uber,uber,DEBIT PURCHASE                Jul 16 0895,10026
7/19/2017,-$7.83,HHA Office,Walgreens,DEBIT PURCHASE                Jul 16 7696,10013
7/20/2017,-$69.14,insurance,Progressive,OTHER DECREASE,10008
7/21/2017,"$2,858.64",SALE,EMZ,INCOMING WIRE,10024
7/21/2017,-$24.55,LA Transport,Gas,DEBIT PIN PURCHASE,10009
7/21/2017,-$400.00,Labor,Prep work / storage move,NONCITIBANK ATM WITHDRAWAL,10010
7/24/2017,-$32.74,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jul 20 7696,10006
7/24/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
7/24/2017,-$200.00,Labor,cash / cleaning,Citibank ATM Withdrawal,10010
7/24/2017,-$21.60,Meal,HHA Office,OTHER DECREASE,10013
7/24/2017,-$5.68,uber,uber,DEBIT PURCHASE                Jul 20 0895,10026
7/24/2017,-$7.14,uber,uber,DEBIT PURCHASE                Jul 21 0895,10026
7/24/2017,-$26.19,HHA Office,Walgreens,DEBIT PURCHASE                Jul 20 7696,10013
7/24/2017,-$17.41,Meal,Writer,DEBIT PURCHASE                Jul 19 7696,10013
7/24/2017,-$19.86,Meal,Writer,OTHER DECREASE,10013
7/25/2017,-$25.39,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jul 21 0895,10006
7/25/2017,-$29.35,Meal,Artist EMZ,DEBIT PIN PURCHASE,10012
7/25/2017,-$99.00,HHA Office,gallery manager,DEBIT PURCHASE                Jul 22 0895,10013
7/25/2017,-$90.92,HHA Office,grocery,DEBIT PURCHASE                Jul 22 7696,10013
7/25/2017,-$79.99,Utility,Internet,DEBIT PURCHASE                Jul 21 7696,10027
7/25/2017,-$6.24,Meal,HHA Office,DEBIT PURCHASE                Jul 21 7696,10013
7/25/2017,-$6.51,Meal,HHA Office,DEBIT PURCHASE                Jul 20 7696,10013
7/25/2017,-$6.86,Meal,HHA Office,OTHER DECREASE,10013
7/25/2017,-$19.78,Meal,HHA Office,OTHER DECREASE,10013
7/25/2017,-$87.17,Insurance,Travelers,OTHER DECREASE,10008
7/25/2017,-$1.00,uber,uber,DEBIT PURCHASE                Jul 21 0895,10026
7/25/2017,-$6.11,uber,uber,DEBIT PURCHASE                Jul 22 0895,10026
7/26/2017,-$25.81,Opening ,3 person show ,OTHER DECREASE,10014
7/26/2017,-$127.83,Opening ,3 person show ,DEBIT PURCHASE                Jul 23 7696,10014
7/27/2017,-$7.32,HHA Office,grocery,DEBIT PIN PURCHASE,10013
7/27/2017,-$41.37,Exhibition,uber PIG,DEBIT PURCHASE                Jul 25 0895,10006
7/27/2017,-$43.23,Exhibition,uber PIG,DEBIT PURCHASE                Jul 25 0895,10006
7/28/2017,-$100.00,Opening ,3 person show ,NONCITIBANK ATM WITHDRAWAL,10014
7/28/2017,-$634.00,Labor,BoE,OTHER DECREASE,10010
7/28/2017,-$5.57,uber,uber,DEBIT PURCHASE                Jul 26 0895,10026
7/28/2017,-$5.85,uber,uber,DEBIT PURCHASE                Jul 26 0895,10026
7/28/2017,-$8.82,uber,uber,DEBIT PURCHASE                Jul 26 0895,10026
7/31/2017,-$30.55,Exhibition,3 person show anawalt,DEBIT PURCHASE                Jul 27 0895,10006
7/31/2017,-$112.50,Exhibition,3 person show Prep help,CHECK   15334,10006
7/31/2017,-$5.36,HHA Office,Amazon,DEBIT PURCHASE                Jul 26 0895,10013
7/31/2017,-$9.99,HHA Office,Amazon,DEBIT PURCHASE                Jul 26 0895,10013
7/31/2017,-$22.68,LA Transport,Gas,DEBIT PURCHASE                Jul 26 7696,10009
7/31/2017,-$11.99,Research ,Netflix,DEBIT PURCHASE                Jul 27 7696,10018
7/31/2017,-$7.60,Meal,HHA Office,DEBIT PURCHASE                Jul 26 7696,10013
7/31/2017,-$70.82,uber,uber,OTHER DECREASE,10026
8/1/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Jul 29 7696,10027
8/1/2017,-$5.86,HHA Office,Amazon,DEBIT PURCHASE                Jul 28 0895,10013
8/1/2017,-$208.61,HHA Office,Amazon,DEBIT PURCHASE                Jul 26 0895,10013
8/1/2017,-$5.45,Meal,Artist EW,DEBIT PURCHASE                Jul 27 7696,10012
8/1/2017,-$10.65,Meal,Artist EW,DEBIT PURCHASE                Jul 27 7696,10012
8/2/2017,-$19.00,Meal,Artist BOC,DEBIT PURCHASE                Jul 29 7696,10012
8/2/2017,"-$3,500.00",Labor,CS,CHECK   15335,10010
8/3/2017,-$29.16,HHA Office,Google,DEBIT PURCHASE                Aug 02 0895,10013
8/3/2017,-$116.01,Utility,phone,DEBIT PURCHASE                Aug 01 7696,10027
8/3/2017,-$18.21,Research ,Sirus,DEBIT PURCHASE                Aug 02 7696,10018
8/4/2017,-$65.18,Meal,Artist Laz,DEBIT PURCHASE                Aug 03 7696,10012
8/4/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Aug 01 0895,10017
8/4/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Aug 01 0895,10017
8/4/2017,-$3.50,Meal,Coffee,DEBIT PURCHASE                Aug 01 7696,10013
8/4/2017,-$103.97,Utility,phone,DEBIT PURCHASE                Aug 02 0895,10027
8/7/2017,-$103.25,HHA Misc. ,Cash,NONCITIBANK ATM WITHDRAWAL,10021
8/7/2017,-$7.02,Meal,Curator,OTHER DECREASE,10013
8/7/2017,-$186.11,Utility,LADWP,OTHER DECREASE,10027
8/8/2017,-$7.65,Meal,Coffee,DEBIT PURCHASE                Aug 05 7696,10013
8/8/2017,-$7.95,Meal,Coffee,DEBIT PURCHASE                Aug 03 7696,10013
8/8/2017,-$0.99,Research ,LA Times,DEBIT PURCHASE                Aug 04 0895,10018
8/8/2017,-$449.60,Exhibition,MEC  shipping,OTHER DECREASE,10006
8/8/2017,-$7.04,Meal,HHA Office,DEBIT PURCHASE                Aug 03 7696,10013
8/8/2017,-$7.25,Meal,HHA Office,DEBIT PURCHASE                Aug 04 7696,10013
8/8/2017,-$98.13,HHA Office,Target,DEBIT PIN PURCHASE,10013
8/8/2017,-$34.95,Exhibition,uber PIG,DEBIT PURCHASE                Aug 04 0895,10006
8/8/2017,-$58.03,Exhibition,uber PIG,DEBIT PURCHASE                Aug 04 0895,10006
8/9/2017,-$4.91,Exhibition,MEC ,DEBIT PIN PURCHASE,10006
8/9/2017,-$1.09,Meal,HHA Office,OTHER DECREASE,10013
8/9/2017,-$21.52,Meal,HHA Office,OTHER DECREASE,10013
8/9/2017,-$23.48,Meal,HHA Office,DEBIT PIN PURCHASE,10013
8/9/2017,-$5.69,uber,uber,DEBIT PURCHASE                Aug 07 0895,10026
8/9/2017,-$6.34,uber,uber,DEBIT PURCHASE                Aug 08 0895,10026
8/9/2017,-$19.42,uber,uber,DEBIT PURCHASE                Aug 07 0895,10026
8/10/2017,-$400.00,Labor,Painting,NONCITIBANK ATM WITHDRAWAL,10010
8/10/2017,-$4.29,Meal,HHA Office,OTHER DECREASE,10013
8/10/2017,-$22.61,Meal,Writer,OTHER DECREASE,10013
8/10/2017,-$25.87,Meal,Writer,DEBIT PIN PURCHASE,10013
8/11/2017,-$2.99,HHA Office,Apple,DEBIT PURCHASE                Aug 08 0895,10013
8/14/2017,-$25.20,Meal,Artist EMZ,DEBIT PIN PURCHASE,10012
8/14/2017,-$27.22,Meal,Artist EMZ,DEBIT PURCHASE                Aug 09 7696,10012
8/14/2017,-$36.05,Meal,Artist EMZ,DEBIT PIN PURCHASE,10012
8/14/2017,-$400.43,Insurance ,Hartford,OTHER DECREASE,10008
8/14/2017,-$90.00,HHA Office,Mailchimp,OTHER DECREASE,10013
8/14/2017,-$3.04,Meal,HHA Office,DEBIT PURCHASE                Aug 10 7696,10013
8/14/2017,-$4.99,Travel ,Travel,DEBIT PURCHASE                Aug 11 0895,10026
8/15/2017,-$6.23,Meal,Artist EMZ,DEBIT PURCHASE                Aug 10 7696,10012
8/15/2017,-$35.43,Meal,Artist EMZ,DEBIT PURCHASE                Aug 11 7696,10012
8/15/2017,-$50.45,Meal,Artist EMZ,DEBIT PURCHASE                Aug 12 7696,10012
8/15/2017,-$49.50,Meal,Artist EW,DEBIT PURCHASE                Aug 12 7696,10012
8/15/2017,-$39.00,HHA Office,Intuit,DEBIT PURCHASE                Aug 11 0895,10013
8/15/2017,-$95.00,Building,Locksmith,DEBIT PURCHASE                Aug 11 0895,10004
8/15/2017,-$39.49,uber,uber,DEBIT PURCHASE                Aug 13 0895,10026
8/16/2017,-$0.99,HHA Office,Apple,DEBIT PURCHASE                Aug 12 0895,10013
8/16/2017,-$40.89,Meal,Artist CF,DEBIT PURCHASE                Aug 14 7696,10012
8/17/2017,-$22.84,Production,CF,DEBIT PIN PURCHASE,10016
8/18/2017,$2.00,Meal,Artist BOC,DEBIT RETURN,10012
8/18/2017,"-$1,050.00",Artist Payment,LAZ,CHECK   15340,10002
8/18/2017,-$210.00,Photography,MEC - CF,CHECK   15332,10015
8/21/2017,-$24.73,Meal,Artist PIG,OTHER DECREASE,10012
8/21/2017,-$200.00,HHA Misc. ,cash,NONCITIBANK ATM WITHDRAWAL,10021
8/21/2017,-$100.12,Meal,Curator,DEBIT PURCHASE                Aug 18 7696,10013
8/21/2017,-$17.12,LA Transport,Gas,DEBIT PURCHASE                Aug 16 7696,10009
8/21/2017,-$479.00,Labor,HL,CHECK   15336,10010
8/22/2017,-$6.89,HHA Office,Amazon,DEBIT PURCHASE                Aug 19 0895,10013
8/22/2017,-$9.72,HHA Office,Amazon,DEBIT PURCHASE                Aug 19 0895,10013
8/22/2017,-$30.58,HHA Office,Amazon,DEBIT PURCHASE                Aug 19 0895,10013
8/22/2017,-$6.52,Building,Anawalt,DEBIT PURCHASE                Aug 18 0895,10004
8/22/2017,-$56.43,Meal,Client ,DEBIT PURCHASE                Aug 19 7696,10013
8/22/2017,-$76.68,Exhibition,EMZ,DEBIT PURCHASE                Aug 19 0895,10006
8/22/2017,-$77.69,Insurance,Progressive,OTHER DECREASE,10008
8/23/2017,-$9.71,Exhibition,EMZ,DEBIT PURCHASE                Aug 19 0895,10006
8/23/2017,-$12.89,Exhibition,EMZ,DEBIT PURCHASE                Aug 19 0895,10006
8/24/2017,-$9.71,Exhibition,EMZ,DEBIT PURCHASE                Aug 19 0895,10006
8/24/2017,-$99.00,HHA Office,Gallery Manager,DEBIT PURCHASE                Aug 22 0895,10013
8/24/2017,-$79.99,Utility,Internet,DEBIT PURCHASE                Aug 21 7696,10027
8/24/2017,"-$3,750.00",Exhibition,SA Bob,CHECK   15342,10006
8/25/2017,"$5,850.00",SALE,Constance  X ,INCOMING WIRE,10024
8/25/2017,-$54.00,Exhibition,EMZ Gallery Prep,CHECK   15338,10006
8/25/2017,-$14.99,Research ,Spotify,OTHER DECREASE,10018
8/25/2017,-$87.17,Insurance,Travelers,OTHER DECREASE,10008
8/28/2017,-$15.00,Bank Fee,Bank Fee,ACH Electronic Debit,10003
8/28/2017,-$21.26,Meal,Client ,DEBIT PIN PURCHASE,10013
8/28/2017,-$17.29,Meal,HHA Office,OTHER DECREASE,10013
8/29/2017,-$35.90,HHA Office,Amazon,DEBIT PURCHASE                Aug 26 0895,10013
8/29/2017,-$88.22,Meal,Artist Laz,DEBIT PURCHASE                Aug 24 7696,10012
8/29/2017,-$52.79,Meal,Artist New artist,DEBIT PURCHASE                Aug 24 7696,10012
8/29/2017,$40.00,ER,laundry,DEBIT RETURN,10005
8/29/2017,-$179.00,ER,laundry,DEBIT PURCHASE                Aug 25 7696,10005
8/29/2017,-$11.99,Research ,Netflix,DEBIT PURCHASE                Aug 27 7696,10018
8/29/2017,-$8.42,uber,uber,DEBIT PURCHASE                Aug 26 0895,10026
8/29/2017,-$12.47,uber,uber,DEBIT PURCHASE                Aug 27 0895,10026
8/29/2017,-$75.13,uber,uber,OTHER DECREASE,10026
8/29/2017,-$361.03,ER,vet,DEBIT PURCHASE                Aug 27 7696,10005
8/30/2017,-$43.24,Travel ,Mex Trip,DEBIT PURCHASE                Aug 28 7696,10026
8/31/2017,-$60.28,Utility,ADT,DEBIT PURCHASE                Aug 29 7696,10027
8/31/2017,-$165.27,Building,Home Depot,DEBIT PIN PURCHASE,10004
8/31/2017,-$6.95,Travel ,Mex Trip,DEBIT PIN PURCHASE,10026
8/31/2017,-$37.00,Travel ,Mex Trip,DEBIT PURCHASE                Aug 28 7696,10026
8/31/2017,-$200.00,Travel ,Mex Trip,NONCITIBANK ATM WITHDRAWAL,10026
9/1/2017,"-$1,175.02",Exhibition,CC  Shipping,DEBIT PURCHASE                Aug 30 0895,10006
9/1/2017,-$105.00,Exhibition,EMZ  Prep,CHECK   15339,10006
9/1/2017,-$14.44,Travel ,Mex Trip,DEBIT PURCHASE                Aug 30 7696,10026
9/5/2017,-$49.99,HHA Office,Adobe,OTHER DECREASE,10013
9/5/2017,-$52.62,Meal,Artist Laz,DEBIT PIN PURCHASE,10012
9/5/2017,-$23.63,Meal,Artist New artist,DEBIT PIN PURCHASE,10012
9/5/2017,"-$3,500.00",Labor,CS,CHECK   15345,10010
9/5/2017,-$4.50,Travel ,DC Trip,DEBIT PURCHASE                Sep 01 7696,10026
9/5/2017,-$0.01,Travel ,Mex Trip,DEBIT PURCHASE                Aug 31 7696,10026
9/5/2017,-$20.03,Travel ,Mex Trip,DEBIT PURCHASE                Aug 30 7696,10026
9/6/2017,-$39.99,HHA Office,Apple app,OTHER DECREASE,10013
9/6/2017,-$500.00,Art Fair,Armory Fair Payment,DEBIT PURCHASE                Sep 01 0895,10001
9/6/2017,-$29.13,Meal,Artist New artist,DEBIT PURCHASE                Sep 02 7696,10012
9/6/2017,-$32.88,Meal,Artist New artist,DEBIT PIN PURCHASE,10012
9/6/2017,-$51.79,Meal,Artist New artist,DEBIT PURCHASE                Sep 02 7696,10012
9/6/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Sep 01 0895,10017
9/6/2017,-$254.00,Storage,Whittier,DEBIT PURCHASE                Sep 01 0895,10017
9/6/2017,-$105.00,Exhibition,EMZ Prep,CHECK   15343,10006
9/6/2017,-$29.16,HHA Office,Google,DEBIT PURCHASE                Sep 01 0895,10013
9/6/2017,-$103.97,Utility,Internet,DEBIT PURCHASE                Sep 02 0895,10027
9/6/2017,-$185.10,Utility,LADWP,OTHER DECREASE,10027
9/6/2017,-$116.01,Utility,phone ,DEBIT PURCHASE                Sep 01 7696,10027
9/6/2017,-$37.00,Travel ,SD Trip,DEBIT PURCHASE                Aug 31 7696,10026
9/6/2017,-$18.21,Research ,Sirus,DEBIT PURCHASE                Sep 02 7696,10018
9/6/2017,-$6.03,uber,uber,DEBIT PURCHASE                Sep 03 0895,10026
9/6/2017,-$6.45,uber,uber,DEBIT PURCHASE                Sep 02 0895,10026
9/6/2017,-$8.08,uber,uber,DEBIT PURCHASE                Sep 02 0895,10026
9/7/2017,-$8.67,Meal,Artist New artist,OTHER DECREASE,10012
9/7/2017,-$500.00,Artist Payment,EMZ,CHECK   15346,10002
9/7/2017,-$400.00,Building,labor Paint,NONCITIBANK ATM WITHDRAWAL,10004
9/7/2017,-$400.00,Building,labor Paint,NONCITIBANK ATM WITHDRAWAL,10004
9/7/2017,"$40,974.67",SALES,Pauls Copper,TELLER DEPOSIT                 Sep 07 19:43,10024
9/8/2017,-$19.32,Exhibition,EMZ Amazon,DEBIT PURCHASE                Sep 05 0895,10006
9/8/2017,-$125.98,Exhibition,EMZ Frys,DEBIT PIN PURCHASE,10006
9/11/2017,$12.89,HHA Office,Amazon,DEBIT RETURN,10013
9/11/2017,-$65.00,Bank Fee,Bank Fee,"FEE-INTL WIRE""",10003
9/11/2017,-$200.00,HHA Misc. ,cash,NONCITIBANK ATM WITHDRAWAL,10021
9/11/2017,"-$4,985.00",RENT,Holllywood,CHECK   15347,10017
9/11/2017,"-$4,985.00",RENT,Holllywood,CHECK   15348,10017
9/11/2017,"-$7,590.84",Art Fair ,Paris Fair Payment,INTL WIRE OUT,10001
9/11/2017,-$3.87,uber,uber,DEBIT PURCHASE                Sep 08 0895,10026
