HOLII SAPI DE CV - Space Statistics
User,carla.mccadden@holii.mx
Last refreshed,12/14/23 08:24:07 UTC
Timeframe,Lifetime

Space name,Space Details URL,Parent folder name,Internal ID,Presented By,Contact name,Address,Public status,Deleted status,Created Date,Impressions,Visits,Unique Visitors
Ceramica Antique,https://my.matterport.com/models/vRNmGL6MGJE/,Ceramica Antique,,Holii.mx,,,Public,Not Deleted,10/01/20,396,365,269
Socrates 127 - depto 105,https://my.matterport.com/models/3sQa2mgY2n7/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,08/28/20,576,335,210
Ejercito Nacional,https://my.matterport.com/models/7uPuvh8Btzy/,Jemil,,Holii.mx,,Ejercito Nacional,Public,Not Deleted,08/28/20,1424,1297,703
Azcapotzalco,https://my.matterport.com/models/M6CGfie8cui/,Jemil,,Holii.mx,,,Public,Not Deleted,08/27/20,1905,1651,906
Guadalupe Inn,https://my.matterport.com/models/Bim24gEjcBF/,Jemil,,Holii.mx,,,Public,Not Deleted,08/27/20,1199,1035,577
Londres 256 - 2R,https://my.matterport.com/models/XgELJSffrYt/,Arquitectoma,,Holii.mx,,,Public,Not Deleted,08/27/20,2815,1735,1225
Rio Tiber,https://my.matterport.com/models/LGfHZ6E5nP1/,Jemil,,Holii.mx,,Rio Tiber,Public,Not Deleted,08/26/20,1504,1319,624
Santa Fe,https://my.matterport.com/models/v9eJ6SE5uN2/,Jemil,,Holii.mx,,,Public,Not Deleted,08/26/20,1140,1009,585
Roma II,https://my.matterport.com/models/B93mwT6eA5S/,Jemil,,Holii.mx,,,Public,Not Deleted,08/26/20,1263,1102,615
ForUs,https://my.matterport.com/models/VPFgGhtJZmi/,M&M Consultores Inmobiliarios,,Holii.mx,,,Public,Not Deleted,08/19/20,5898,3281,2178
Puebla Piso 3,https://my.matterport.com/models/ThVvWzJ6DCU/,Puebla,,Holii.mx,,,Public,Not Deleted,08/18/20,90,55,43
Torre Luna Departamento 502,https://my.matterport.com/models/FmV7n4AbC7H/,Raul Pinto,,Holii.mx,,Torre Luna Departamento 502,Public,Not Deleted,08/14/20,26,20,6
Toluca Airbnb,https://my.matterport.com/models/sv4g2WEJnyh/,Maria de Jesus,,Holii.mx,,,Public,Not Deleted,07/31/20,537,477,367
Vesta Park Alamar Tijuana,https://my.matterport.com/models/C7j9JLMsUjg/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,07/31/20,418,209,190
Florencia,https://my.matterport.com/models/vFWAyxDmQRH/,Jemil,,Holii.mx,,,Public,Not Deleted,07/31/20,1388,1191,616
Ibarraran,https://my.matterport.com/models/G6vYdTJQBrJ/,Jemil,,Holii.mx,,Jose Maria,Public,Not Deleted,07/31/20,1693,1489,649
Roma I,https://my.matterport.com/models/Moz5iu6c2AP/,Jemil,,Holii.mx,,,Public,Not Deleted,07/31/20,2105,1887,914
Naucalpan I,https://my.matterport.com/models/5N9M4rLmCjX/,Jemil,,Holii.mx,,,Public,Not Deleted,07/29/20,616,504,300
Naucalpan II,https://my.matterport.com/models/BxYcnoN8oye/,Jemil,,Holii.mx,,,Public,Not Deleted,07/29/20,1210,1018,538
Torcuato,https://my.matterport.com/models/Sw1YKvhTgxW/,Jemil,,Holii.mx,,,Public,Not Deleted,07/28/20,1225,1049,515
Vesta Park Cd Juarez,https://my.matterport.com/models/HmTdBbo25Wf/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,07/28/20,70,37,32
Condesa,https://my.matterport.com/models/CLLbyPti9Xi/,Jemil,,Holii.mx,,,Public,Not Deleted,07/26/20,1781,1596,974
Del Valle,https://my.matterport.com/models/jEMnJJtQbHJ/,Jemil,,Holii.mx,,,Public,Not Deleted,07/26/20,2153,1935,1127
Ikal - Cabañas,https://my.matterport.com/models/upB3ZDi52MG/,Ikal,,Holii.mx,,,Public,Not Deleted,07/22/20,382,238,201
Ikal - Áreas Comunes y Cabaña 4,https://my.matterport.com/models/QBNxEZgKGfY/,Ikal,,Holii.mx,,,Public,Not Deleted,07/22/20,934,542,463
Ikal - Aldea,https://my.matterport.com/models/JRaSDpqdEpQ/,Ikal,,Holii.mx,,,Public,Not Deleted,07/22/20,314,191,169
Retorno de Oro 24,https://my.matterport.com/models/RNtoLHDZSoF/,Urbinex,,Holii.mx,,,Public,Not Deleted,07/22/20,850,735,299
Garden House Residencial Mónaco,https://my.matterport.com/models/v3mcUbiBZGx/,Saleh,,www.boogietech.com.mx,,"Av. Club de Golf Lomas, Lomas Country Club, Naucalpan de Juárez, Méx., México",Public,Not Deleted,07/18/20,3759,1988,1434
Ixtapaluca Oficinas,https://my.matterport.com/models/2sW2eHoPqtg/,Naves Lopez,,Holii.mx,,,Not Public,Not Deleted,07/15/20,4,3,3
Ixtapaluca naves,https://my.matterport.com/models/GbBAA4QShLY/,Naves Lopez,,Holii.mx,,,Not Public,Not Deleted,07/15/20,28,17,13
Eugenio Sue depto PB,https://my.matterport.com/models/c4SWcbC5UKu/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/06/20,287,274,169
Eugenio Sue depto PA,https://my.matterport.com/models/AJaBFcsQHRn/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/06/20,2275,1018,550
Casas venta en Bosques,https://my.matterport.com/models/kRgJ5oX15CJ/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/05/20,9112,5180,2319
"Áreas comunes - Gimnasio, salón eventos, bar",https://my.matterport.com/models/WibwBL4BNZ8/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/04/20,99,92,64
"Áreas comunes - Alberca, canchas, jardín",https://my.matterport.com/models/d4khpNRZ6qg/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/03/20,46,43,33
"Áreas comunes - Oficinas, canchas, salones",https://my.matterport.com/models/jdp1fhVdcQU/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/03/20,38,37,28
Casas en venta Bosques,https://my.matterport.com/models/S4qqGek2u1p/,Raul Pinto,,Holii.mx,,,Public,Not Deleted,07/01/20,1814,941,613
Club Residencial Bosques - Torre Dátil 345 m2,https://my.matterport.com/models/RwcozEUcuAQ/,Grupo Desarrolla,,Holii.mx,,,Public,Not Deleted,06/28/20,3991,3517,2531
Torre Artema - Amenidades,https://my.matterport.com/models/TYR8HyaWcid/,Torre Artema,,Holii.mx,,,Public,Not Deleted,06/28/20,18042,1773,1376
Torre Artema - Rooftop,https://my.matterport.com/models/7FFDt7AaCvh/,Torre Artema,,Holii.mx,,,Public,Not Deleted,06/27/20,16711,1148,937
Torre Artema - Depto Muestra,https://my.matterport.com/models/4UBuhqJRVbJ/,Torre Artema,,Holii.mx,,,Public,Not Deleted,06/26/20,30380,5946,4075
Torre Kupress,https://my.matterport.com/models/NkNsMw1uzgj/,Torre Kupress,,Holii.mx,,,Public,Not Deleted,06/24/20,22297,4890,3636
Planta Cuautla Morelos,https://my.matterport.com/models/RgeiLEfpykQ/,Colliers,,Holii.mx,,,Public,Not Deleted,06/23/20,274,185,136
Plinio 340,https://my.matterport.com/models/vhFvoqBC9qr/,IM Desarrollos,,Holii.mx,,,Not Public,Not Deleted,06/19/20,437,229,157
Galileo 236 - GH02,https://my.matterport.com/models/mbPNtSr8Kob/,IM Desarrollos,,Holii.mx,,,Not Public,Not Deleted,06/17/20,1967,752,543
Socrates 127 - depto 204,https://my.matterport.com/models/SCmyyWU8xHw/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,06/17/20,621,297,215
Casa TERRA,https://my.matterport.com/models/FiXZQk7E7dE/,Punta Dorada,,Holii.mx,,,Public,Not Deleted,06/13/20,54996,4084,2796
Casa AQUA,https://my.matterport.com/models/zrUTmqP35JV/,Punta Dorada,,Holii.mx,,,Public,Not Deleted,06/13/20,54532,4237,3072
Casa LUX,https://my.matterport.com/models/6XfK7wGaVRr/,Punta Dorada,,Holii.mx,,,Public,Not Deleted,06/13/20,53264,4147,2566
Casa VENTO,https://my.matterport.com/models/SkWXhxHt3jw/,Punta Dorada,,Holii.mx,,,Public,Not Deleted,06/13/20,54867,4072,2803
Área Social,https://my.matterport.com/models/9X6WQ1o8ZKM/,Punta Dorada,,Holii.mx,,,Public,Not Deleted,06/13/20,1,1,1
Vesta Park Aguascalientes VPAI-01,https://my.matterport.com/models/raiQ8R7FXn3/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,06/12/20,603,360,309
Vesta Park Silao VPG-PTO06,https://my.matterport.com/models/xSRs8urhGw2/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,06/11/20,21,13,10
Sexto Retorno del Tepozteco,https://my.matterport.com/models/1pLnMwNMWNf/,ANSOF,,Holii.mx,,,Public,Not Deleted,06/08/20,263,209,41
Socrates 127 - GH04,https://my.matterport.com/models/mjXm3Mv5uHk/,IM Desarrollos,,Holii.mx,,,Public,Not Deleted,06/07/20,2611,1295,789
Tour Virtual Norte 1b,https://my.matterport.com/models/FGq31ZLqWf7/,Vascondesa,,Holii.mx,,,Not Public,Not Deleted,05/29/20,4518,921,561
Vesta Park Tlaxcala VPTI-H2,https://my.matterport.com/models/kRudjeSbdWe/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,05/28/20,121,83,59
Vesta Park Puebla VPP1-01,https://my.matterport.com/models/QafywobPaZj/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,05/28/20,162,93,79
Temistocles 233 PH02,https://my.matterport.com/models/pp1Q4CDJ8Ez/,Vision Arquitectos,,Holii.mx,,"Temistocles 233 PH02, Polanco, Miguel Hidalgo, CDMX, 11560",Not Public,Not Deleted,05/19/20,1453,771,408
Temistocles 233 602,https://my.matterport.com/models/wrxeoRr7GH1/,Vision Arquitectos,,Holii.mx,,"Temistocles 233 602, Polanco, Miguel Hidalgo, CDMX, 11560",Not Public,Not Deleted,05/19/20,1079,515,286
Vesta Park San Luis Potosí VPSLP-03,https://my.matterport.com/models/yCnsMVkzudF/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,05/15/20,157,104,72
Vesta Park Querétaro VPQ-02,https://my.matterport.com/models/7TmbHhiCVpx/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,05/14/20,303,182,135
3D Tour Virtual SMA,https://my.matterport.com/models/gA9nm25Y7o5/,Grupo Vesta,,Holii.mx,,,Public,Not Deleted,05/14/20,154,107,65
Flow Tour Virtual,https://my.matterport.com/models/HJFZVbMR5Du/,Proarquitectura,,Holii.mx,,,Public,Not Deleted,04/21/20,22480,15118,7734
UVM Nogales - Centro De Negocios,https://my.matterport.com/models/Hu7vVwaGpsL/,Nogales,,uvm.mx,,,Public,Not Deleted,04/15/20,263,236,192
UVM Nogales - Laboratorio,https://my.matterport.com/models/mqQhXz5wWeS/,Nogales,,uvm.mx,,,Public,Not Deleted,04/15/20,289,230,188
UVM Tuxtla - CIEG y Zonas Universitarias,https://my.matterport.com/models/WUsyGYRKohq/,Tuxtla,,uvm.mx,,,Public,Not Deleted,04/15/20,1818,1385,1061
UVM Tuxtla - Salud,https://my.matterport.com/models/M648hsAZ9YB/,Tuxtla,,uvm.mx,,,Public,Not Deleted,04/15/20,1457,1130,906
UVM Chihuahua - Salud,https://my.matterport.com/models/LjVYzKW8tZQ/,Chihuahua,,uvm.mx,,,Public,Not Deleted,04/15/20,1839,1413,1085
UVM Chihuahua - Laboratorios,https://my.matterport.com/models/NHQMp2YrWQ6/,Chihuahua,,uvm.mx,,,Public,Not Deleted,04/15/20,2322,1813,1495
UVM Chihuahua - CIEG y Zonas Universitarias,https://my.matterport.com/models/Qg7NTB9nmEv/,Chihuahua,,uvm.mx,,,Public,Not Deleted,04/15/20,4298,3160,2376
UVM Hermosillo - Talleres y Zonas Universitarias,https://my.matterport.com/models/uSDcw8rVPYP/,Hermosillo,,uvm.mx,,,Public,Not Deleted,04/14/20,2136,1610,1229
UVM Hermosillo - Centro de Salud,https://my.matterport.com/models/c6AnQemBxDp/,Hermosillo,,uvm.mx,,,Public,Not Deleted,04/14/20,41220,3641,2460
UVM Hermosillo - Veterinaria,https://my.matterport.com/models/AnAq1dyZsg4/,Hermosillo,,uvm.mx,,,Public,Not Deleted,04/14/20,2410,1832,1380
UVM Hermosillo - CIEG,https://my.matterport.com/models/KkfMracnwrN/,Hermosillo,,uvm.mx,,,Public,Not Deleted,04/14/20,2430,1777,1382
UVM Mexicali - CIEG,https://my.matterport.com/models/amoxJ5hDYKw/,Mexicali,,uvm.mx,,,Public,Not Deleted,04/14/20,2546,1996,1510
UVM Ciudad Victoria - Centro de Salud,https://my.matterport.com/models/Jnzymut2BLj/,Ciudad Victoria,,uvm.mx,,,Public,Not Deleted,04/13/20,40756,3033,1813
UVM  Ciudad Victoria,https://my.matterport.com/models/2NaW2TYKPzc/,Ciudad Victoria,,uvm.mx,,UVM  Cd. Victoria,Public,Not Deleted,04/13/20,1489,1158,831
UVM Mexicali - Centro de Salud,https://my.matterport.com/models/nqabTN4LRJb/,Mexicali,,uvm.mx,,,Public,Not Deleted,04/12/20,3286,2528,1943
UVM Reynosa - Centro de Medios y Zonas Universitarias,https://my.matterport.com/models/ZwJjHcxpjW3/,Reynosa,,uvm.mx,,,Public,Not Deleted,04/12/20,3291,2713,1661
UVM Reynosa - Centro de Salud,https://my.matterport.com/models/hpMdoD9P68p/,Reynosa,,uvm.mx,,,Public,Not Deleted,04/12/20,40774,3339,2392
UVM Mexicali - Talleres,https://my.matterport.com/models/7aBjr5J3jfu/,Mexicali,,uvm.mx,,,Public,Not Deleted,04/12/20,2630,2161,1721
UVM Mexicali - Centro de Medios,https://my.matterport.com/models/wmo1jhgVAG4/,Mexicali,,uvm.mx,,,Public,Not Deleted,04/12/20,3724,2871,2338
UVM Mérida,https://my.matterport.com/models/g5Z661LLSoh/,Mérida,,uvm.mx,,,Public,Not Deleted,04/11/20,10139,7937,6282
UVM Villahermosa - Laboratorios y Talleres,https://my.matterport.com/models/eGTVvbjZWsv/,Villahermosa,,uvm.mx,,,Public,Not Deleted,04/11/20,5636,4444,3245
UVM Villahermosa - CIEG,https://my.matterport.com/models/t7Bk4DzZ1xi/,Villahermosa,,Holii.mx,,,Public,Not Deleted,04/11/20,4448,3390,2389
UVM Villahermosa - Centro de Medios,https://my.matterport.com/models/PzEkgT8yfRZ/,Villahermosa,,Holii.mx,,,Public,Not Deleted,04/11/20,6943,5060,3642
UVM Villahermosa - Centro de Salud,https://my.matterport.com/models/REvZ8yenj7g/,Villahermosa,,uvm.mx,,Y,Public,Not Deleted,04/11/20,50736,9321,5727
UVM Reynosa - Clínica de Salud,https://my.matterport.com/models/xcVMRj8ghiN/,Reynosa,,Holii.mx,,,Public,Not Deleted,04/11/20,2028,1618,1129
UVM Tampico,https://my.matterport.com/models/mf5ma4ShSdu/,Tampico,,uvm.mx,,,Public,Not Deleted,04/09/20,1288,1085,829
UVM Torreón - Morfología,https://my.matterport.com/models/qcoP8XPg74u/,Torreón,,uvm.mx,,,Public,Not Deleted,04/08/20,1445,1113,912
UVM Torreón - CIEG y Zonas Universitarias,https://my.matterport.com/models/PyXk9H9cKn4/,Torreón,,Holii.mx,,,Public,Not Deleted,04/08/20,2570,1965,1464
UVM Veracruz - CIEG y Zonas Universitarias,https://my.matterport.com/models/TJVkZ2VNr8N/,Veracruz,,Holii.mx,,,Public,Not Deleted,04/08/20,9148,6862,5205
UVM Veracruz - Simulaciones (salud),https://my.matterport.com/models/A7V43MHYdKt/,Veracruz,,uvm.mx,,,Public,Not Deleted,04/08/20,44836,6571,4251
UVM Veracruz - Estructura Y Función (Salud),https://my.matterport.com/models/JoFZwX5tx7z/,Veracruz,,uvm.mx,,,Public,Not Deleted,04/08/20,7048,5523,3720
"UVM Puebla - Centro de Medios, Talleres y Zonas Universitarias",https://my.matterport.com/models/5K7kyK1aQhA/,Puebla,,Holii.mx,,,Public,Not Deleted,04/06/20,10633,7860,5904
UVM Puebla - CIEG,https://my.matterport.com/models/v7P5wx97FnT/,Puebla,,uvm.mx,,,Public,Not Deleted,04/06/20,10617,7917,5983
UVM Puebla - Nutricion y Taller Multidisciplinario,https://my.matterport.com/models/BWei95dxhrV/,Puebla,,uvm.mx,,,Public,Not Deleted,04/06/20,8870,6531,5014
UVM Sur - Zonas Universitarias,https://my.matterport.com/models/VKTi6fPUbEu/,Sur,,uvm.mx,,,Public,Not Deleted,04/05/20,5520,4430,3299
UVM Sur - Centro de Medios y Talleres,https://my.matterport.com/models/MdbqX4Ujs8s/,Sur,,uvm.mx,,,Public,Not Deleted,04/05/20,3906,3035,2379
UVM Sur - CIEG,https://my.matterport.com/models/33BvcUziGXG/,Sur,,uvm.mx,,,Public,Not Deleted,04/05/20,6601,5148,4075
UVM Zapopan - Centro de Salud,https://my.matterport.com/models/AWBFX16CJ4h/,Zapopan,,Holii.mx,,,Public,Not Deleted,04/05/20,47817,8924,6085
"UVM Zapopan - Centro de Medios, Talleres y Laboratorios",https://my.matterport.com/models/MLvpon4S6HD/,Zapopan,,uvm.mx,,,Public,Not Deleted,04/05/20,5025,3853,3036
UVM Zapopan - Salones,https://my.matterport.com/models/RDf8M7NoAFC/,Zapopan,,uvm.mx,,,Public,Not Deleted,04/05/20,4043,3181,2598
UVM Zapopan - Zonas Universitarias,https://my.matterport.com/models/qF1r9jQnjhV/,Zapopan,,uvm.mx,,,Public,Not Deleted,04/05/20,8508,6706,4645
UVM Aguascalientes - Arquitectura y Comunicación,https://my.matterport.com/models/4DmzXoK1WB7/,Aguascalientes,,Holii.mx,,UVM AGS Arquitectura Y Comunicación,Public,Not Deleted,04/05/20,2217,1657,1351
UVM Aguascalientes - Zonas Universitarias,https://my.matterport.com/models/k4j7kR4U7ur/,Aguascalientes,,uvm.mx,,UVM AGS Edificio B Y Laboratorios,Public,Not Deleted,04/05/20,3071,2339,1775
UVM Aguascalientes - CIEG,https://my.matterport.com/models/nzM1S9j8uKs/,Aguascalientes,,uvm.mx,,,Public,Not Deleted,04/05/20,3377,2543,1953
UVM Coyoacán - Centro de Salud,https://my.matterport.com/models/BJvMzontvdp/,Coyoacán,,Holii.mx,,,Public,Not Deleted,04/04/20,68662,10250,8938
UVM Toluca - CEDETEC,https://my.matterport.com/models/tWouboWtBrZ/,Toluca,,Holii.mx,,,Public,Not Deleted,04/04/20,5770,2905,2414
UVM San Luis Potosi - Salud,https://my.matterport.com/models/LTdGNusw2Fa/,San Luis Potosi,,Holii.mx,,Uvm SLP V2,Public,Not Deleted,04/03/20,0,0,0
UVM Saltillo - Centro de Salud,https://my.matterport.com/models/NyGXvUZuFDr/,Saltillo,,Holii.mx,,,Public,Not Deleted,04/03/20,41980,2937,2187
"UVM Saltillo - CIEG, Laboratorios y Zonas Universitarias",https://my.matterport.com/models/1R6nQsMQbxh/,Saltillo,,uvm.mx,,,Public,Not Deleted,04/03/20,3670,2906,2301
UVM Saltillo - Centro de Medios y Talleres,https://my.matterport.com/models/NN9jTHYpLEb/,Saltillo,,uvm.mx,,,Public,Not Deleted,04/03/20,2225,1680,1303
UVM Querétaro - Edificios J & K,https://my.matterport.com/models/9Kqmjbeg6XV/,Querétaro,,uvm.mx,,,Public,Not Deleted,04/02/20,9794,7930,4487
"UVM Norte - Laboratorios, Centro de Medios y Zonas Universitarias",https://my.matterport.com/models/k1e9vSJCDZQ/,Norte,,uvm.mx,,,Public,Not Deleted,04/02/20,7447,5947,4382
UVM Norte - Laboratorios,https://my.matterport.com/models/T8wMnANUtrk/,Norte,,uvm.mx,,,Public,Not Deleted,04/02/20,5019,3824,3032
UVM Norte - CIEG,https://my.matterport.com/models/uAdxADHdPvf/,Norte,,uvm.mx,,,Public,Not Deleted,04/02/20,5999,4698,3867
UVM Norte - Centro de Salud,https://my.matterport.com/models/qBXC1gVVCpA/,Norte,,Holii.mx,,,Public,Not Deleted,04/02/20,44710,6396,5215
"UVM Querétaro - Talleres, Laboratorios y Zonas Universitarias",https://my.matterport.com/models/Ai4rygnJu5H/,Querétaro,,uvm.mx,,,Public,Not Deleted,04/02/20,9856,7676,5350
UVM Querétaro - CIEG,https://my.matterport.com/models/77667KdrstW/,Querétaro,,uvm.mx,,,Public,Not Deleted,04/02/20,7018,5388,3783
UVM Querétaro - Biblioteca,https://my.matterport.com/models/LcefzNjjgDT/,Querétaro,,uvm.mx,,,Public,Not Deleted,04/02/20,9518,4195,3407
UVM Querétaro - Edificio A,https://my.matterport.com/models/JexmHV1uqks/,Querétaro,,Holii.mx,,,Public,Not Deleted,04/02/20,7731,6031,4275
UVM Querétaro - Clínica,https://my.matterport.com/models/7ryUwj7rh2R/,Querétaro,,Holii.mx,,Clínica UVM,Public,Not Deleted,04/02/20,42894,5362,2584
UVM Cumbres - Centro Médico,https://my.matterport.com/models/b1LFteeLyuo/,Cumbres,,Holii.mx,,,Public,Not Deleted,04/01/20,13042,7196,5145
UVM Cumbres - Zona I,https://my.matterport.com/models/72zpTheiWWo/,Cumbres,,Holii.mx,,,Public,Not Deleted,04/01/20,8880,4605,3739
UVM Texcoco,https://my.matterport.com/models/3t6kBJbrPyU/,Texcoco,,Holii.mx,,,Public,Not Deleted,03/31/20,15752,8491,6079
UVM Toluca - CIEG,https://my.matterport.com/models/MzyTTqqym49/,Toluca,,Holii.mx,,,Public,Not Deleted,03/31/20,6348,2843,2341
"UVM Toluca - Centro de Comunicación, Fisioterapia y Zonas Universitarias",https://my.matterport.com/models/KzRFXm7VEDA/,Toluca,,Holii.mx,,,Public,Not Deleted,03/31/20,7371,3626,2942
UVM Toluca - Fisioterapia,https://my.matterport.com/models/mfmoJUkETz5/,Toluca,,Holii.mx,,,Public,Not Deleted,03/30/20,6402,2417,2066
UVM Tlalpan - Taller de Maderas - Diseño y Arquitectura,https://my.matterport.com/models/7WYSDezweWx/,Tlalpan,,Holii.mx,,,Public,Not Deleted,03/30/20,6960,5311,4532
UVM Tlalpan - Cocinas - Hospitalidad,https://my.matterport.com/models/acMF9VYmdPZ/,Tlalpan,,uvm.mx,,,Public,Not Deleted,03/30/20,5153,3551,2863
UVM Tlalpan - Cocinas - Hospitalidad,https://my.matterport.com/models/JV1wixWYFNp/,Tlalpan,,uvm.mx,,,Public,Not Deleted,03/30/20,3983,2783,2347
UVM Tlalpan - Taller de Metales - Diseño y Arquitectura,https://my.matterport.com/models/qHabrcCzP6Z/,Tlalpan,,uvm.mx,,,Public,Not Deleted,03/30/20,3961,2805,2193
UVM Tlalpan - Nuevo Ingreso - Admisión,https://my.matterport.com/models/edYa3icXj8P/,Tlalpan,,uvm.mx,,"134 Calle San Juan de Dios, Ciudad de México, CDMX, 14370, México",Public,Not Deleted,03/30/20,7764,5818,4754
UVM Cuernavaca - Centro De Medios,https://my.matterport.com/models/GZvMThvjWbR/,Cuernavaca,,uvm.mx,,,Public,Not Deleted,03/29/20,2446,1888,1357
UVM Hispano - Zona I,https://my.matterport.com/models/ehrQWbwTUvm/,Hispano,,uvm.mx,,,Public,Not Deleted,03/29/20,6358,5112,3566
UVM Cuernavaca - CIEG,https://my.matterport.com/models/Da61PuZ6xGS/,Cuernavaca,,Holii.mx,,,Public,Not Deleted,03/29/20,3140,2350,1691
UVM Cuernavaca - Edificio H,https://my.matterport.com/models/GtchDn5StkE/,Cuernavaca,,uvm.mx,,,Public,Not Deleted,03/29/20,2285,1811,1408
UVM Hispano - Zona II,https://my.matterport.com/models/pvPTSw8RXpi/,Hispano,,Holii.mx,,,Public,Not Deleted,03/29/20,7637,5867,4112
UVM Lago De Guadalupe - Centro de Medios,https://my.matterport.com/models/UQQQPKHY6Nj/,Lago de Guadalupe,,Holii.mx,,,Public,Not Deleted,03/29/20,4496,3111,2313
UVM San Luis Potosi - CIEG,https://my.matterport.com/models/oWu4PWzGd3T/,San Luis Potosi,,uvm.mx,,,Public,Not Deleted,03/28/20,2827,2241,1539
UVM San Luis Potosi - Zona II,https://my.matterport.com/models/qf7uvW3poUa/,San Luis Potosi,,uvm.mx,,,Public,Not Deleted,03/28/20,2112,1690,1198
UVM San Luis Potosi - Zona I,https://my.matterport.com/models/vDEP8eg71i7/,San Luis Potosi,,uvm.mx,,,Public,Not Deleted,03/28/20,43232,3562,2328
UVM San Rafael,https://my.matterport.com/models/hVMJAYTUPW1/,San Rafael,,Holii.mx,,,Public,Not Deleted,03/28/20,24310,19362,14131
UVM Lago De Guadalupe - CIEG,https://my.matterport.com/models/KcMYM6F5Xac/,Lago de Guadalupe,,Holii.mx,,,Public,Not Deleted,03/27/20,5473,3857,2950
UVM Chapultepec - Zona I,https://my.matterport.com/models/hksT8wk9Nm4/,Chapultepec,,uvm.mx,,,Public,Not Deleted,03/27/20,10932,4840,3739
UVM Chapultepec - Zona II,https://my.matterport.com/models/69NetvMqvac/,Chapultepec,,uvm.mx,,,Public,Not Deleted,03/27/20,6507,4909,3745
UVM Roma - Zona II,https://my.matterport.com/models/LAohNQjmx12/,Roma,,uvm.mx,,,Public,Not Deleted,03/26/20,7655,5648,4460
UVM Roma - Zona I,https://my.matterport.com/models/kmp9zvZiShL/,Roma,,uvm.mx,,,Public,Not Deleted,03/26/20,6080,4348,3555
UVM Lomas Verdes - Edificio J,https://my.matterport.com/models/YVRsVe4LtGk/,Lomas Verdes,,uvm.mx,,,Public,Not Deleted,03/26/20,11667,5425,4349
UVM Lomas Verdes - Edificio C,https://my.matterport.com/models/31izETJ4Ems/,Lomas Verdes,,uvm.mx,,,Public,Not Deleted,03/26/20,8012,3313,2738
UVM Lomas Verdes - Zona II,https://my.matterport.com/models/wQQkBkZ4gdi/,Lomas Verdes,,uvm.mx,,,Public,Not Deleted,03/26/20,12963,6029,4891
UVM Lomas Verdes - Zona I,https://my.matterport.com/models/tmq7LJ4g8Ym/,Lomas Verdes,,uvm.mx,,,Public,Not Deleted,03/26/20,14757,7999,6107
UVM Coyoacán - Zonas Universitarias y Hospital Veterinario,https://my.matterport.com/models/fZwb5g2uNmE/,Coyoacán,,uvm.mx,,,Public,Not Deleted,03/25/20,90417,42460,36300
UVM Coyoacán - Laboratorios Ingenierías y CEDH,https://my.matterport.com/models/krpo5mnVG2W/,Coyoacán,,uvm.mx,,,Public,Not Deleted,03/25/20,31414,13046,10878
UVM Coyoacán - Ciencias de la Salud,https://my.matterport.com/models/pR44Y2keYU5/,Coyoacán,,uvm.mx,,,Public,Not Deleted,03/25/20,22964,12685,8573
Chapultepec Uno R509,https://my.matterport.com/models/uViT7S1qHQA/,Colliers,,Holii.mx,,,Public,Not Deleted,03/23/20,27087,11271,8764
Chapultepec Uno R509,https://my.matterport.com/models/NHZfMeeZS9N/,Colliers,,Holii.mx,,Chapultepec Uno,Public,Not Deleted,03/22/20,28190,11758,9005
Casa Escondida,https://my.matterport.com/models/2n64mdZvkcy/,MexHome,,Holii.mx,,,Public,Not Deleted,03/13/20,709,369,267
Belleview - Tour 3D,https://my.matterport.com/models/eagra3XQET8/,Leads Agency,,Holii.mx,,,Public,Not Deleted,03/11/20,4414,2903,1847
Luc 34,https://my.matterport.com/models/VAB6BEKqZG8/,Keyboo,,Holii.mx,,,Not Public,Not Deleted,02/25/20,199,128,47
Terraza Homework,https://my.matterport.com/models/Te8rT8yfJ4S/,Homework,,Holii.mx,,,Public,Not Deleted,02/24/20,9227,2804,2193
Casa Xipe,https://my.matterport.com/models/tct6NhzsMxs/,Keyboo,,Holii.mx,,,Public,Not Deleted,02/21/20,1665,1299,951
Licastro,https://my.matterport.com/models/XHKWTpqDvGZ/,Keyboo,,Holii.mx,,,Not Public,Not Deleted,02/21/20,535,405,237
Homero 1205,https://my.matterport.com/models/6WFjszeYaNB/,JDV,,holii.mx,,"Homero 1205, 202 Polanco CDMX México",Public,Not Deleted,02/20/20,576,482,335
