Lot,Product,Status,% Sieve ,% Sieve Fall ,% Tainted,% Less Tainted,% Uncolored,% SLightly Faded,% Decorated,%Less Decorated  ,% Broken,% Wrinkled,% Gnawed,% Wallowed,% Frozen,% Moldy,% Sprouted,Field Chopped %,Other Types %,% Other Defects
NE-Z40-338,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-339,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-340,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,25  ","0,50  ","0,50  ","0,75  ","0,25  ","0,25  ","0,25  ",0,0,"0,25  ",0,"0,01  ",0,0
NE-Z40-345,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-346,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-347,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,50  ",0,"3,00  ","1,00  ","0,01  ",0,"0,01  ",0,0,0,0,0,0,0
NE-Z40-348,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ",0,"0,75  ","0,25  ",0,0,"0,01  ",0,0,"0,25  ",0,0,0,0
NE-Z40-349,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-350,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-351,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-352,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-359,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,75  ",0,"1,75  ","1,00  ","0,25  ",0,"0,01  ","0,50  ",0,0,0,0,0,0
NE-Z40-360,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-362,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,75  ",0,"2,00  ","2,50  ","0,25  ",0,0,"0,50  ",0,"0,01  ",0,"1,00  ",0,0
NE-Z40-363,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-364,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-365,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-369,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,01  ","0,25  ","1,50  ","3,25  ","0,25  ",0,"0,25  ","0,25  ",0,"0,25  ","0,50  ",0,0,0
NE-Z40-370,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,01  ","0,01  ","2,25  ","3,50  ","0,25  ","0,25  ","0,25  ","0,01  ",0,"0,01  ","0,50  ",0,0,0
NE-Z40-371,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"0,25  ","0,25  ","0,75  ","0,50  ","0,01  ","0,50  ","0,25  ","0,01  ",0,0,0,"0,50  ",0,0
NE-Z40-372,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-373,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-378,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,"0,50  ",0,"2,00  ","1,00  ","0,25  ","0,25  ",0,"0,01  ",0,"0,50  ",0,"0,50  ",0,0
NE-Z40-379,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-380,Black Processed - Sieve 4.0,Pending Authorization ,0,"0,25  ",0,0,0,"0,75  ","3,75  ","2,75  ","0,25  ","0,75  ","0,01  ","0,25  ",0,0,0,"0,25  ",0,0
NE-Z40-381,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-382,Black Processed - Sieve 4.0,Exported ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-500,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-A50,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-A52,Black Processed - Sieve 4.0,Exported ,0,"0,75  ",0,0,0,0,"3,50  ","0,75  ","0,50  ",0,"0,01  ",0,0,0,0,"1,00  ",0,0
NE-Z40-A87,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z40-A88,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z40-B50,Black Processed - Sieve 4.0,Pending Authorization ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE-Z40-B52,Black Processed - Sieve 4.0,Exported ,0,"0,75  ",0,0,0,0,"3,50  ","0,75  ","0,50  ",0,"0,01  ",0,0,0,0,"1,00  ",0,0
NE-Z40-B87,Black Processed - Sieve 4.0,Exported ,0,0,0,0,"1,00  ","0,25  ","0,50  ","0,50  ",0,"2,50  ","0,01  ","0,50  ",0,0,0,"1,50  ",0,0
NE-Z40-C52,Black Processed - Sieve 4.0,Exported ,0,"0,25  ",0,0,0,"0,25  ","1,50  ","1,00  ","0,25  ","0,75  ",0,"0,50  ","0,01  ",0,0,"0,25  ",0,0
NE-Z40-E52,Black Processed - Sieve 4.0,Exported ,0,"0,75  ",0,0,0,0,"3,50  ","0,75  ","0,50  ",0,"0,01  ",0,0,0,0,"1,00  ",0,0
